,block_mined,gas,gas_price,hashpower_accepting,round_gp_10gwei,time_mined,tx_cost
"b'\x16\x08=I\xf5T\xe6\x97\x9d\xfe\x12\x9f\x97\xb4j\xf3\xfd\x042\xc9\x0c\xa9P>\x96\xc9\\\xc1, \xd1\xfa'",8934631.0,21000.0,10000000000.0,100.0,100.0,1573766237.0,2100000.0
b'\x16Y\xc1\x17\x9eN\xb6\xe9x\x0e}/\xce-<\xdf\xfd\x16\x90u\xb2F\x01\xf5\xb8\xc3x\xba0\xff5\x05',8934630.0,21000.0,10000000000.0,100.0,100.0,1573766197.0,2100000.0
"b'\x16\xdd\xdf\x7f^\xa3\xde\x93_\xcf|(\xfc\xa0G\x1b6F\xd5\xe4,\xf8A\xcf\xb9\xa797\x85\xdd\x95\x1f'",8934631.0,380000.0,5500000000.0,48.99999999999999,50.0,1573766237.0,19000000.0
"b'\x17\tq\xfe\x17A:z\x0ckR\xe3lj\n\x13\x00n\xd2\x10.\xea|\xf6\xb8\xc7\x1b\xce""\xcbO\xcd'",8934630.0,21000.0,28000000000.0,100.0,280.0,1573766197.0,5880000.0
b'\x17U\x07`\x06f\xddh\x15\xba\xf4i\x04?\x14\xf3GE\xcd)\xabt\xd9~\xf4*3\xbcE\t\xaa\xc7',8934629.0,21000.0,30000000000.0,100.0,300.0,1573766190.0,6300000.0
b'\x18T\xb1\x84U\x13\x82\xc2\xefY\xc3\x16\x05\xb8\x00\n\x85\xab)\xbe\xd1\x07\x17\x96b?\t\x89\xfb\x9f\x8aX',8934631.0,207128.0,40000000000.0,100.0,400.0,1573766237.0,82851200.0
b'\x18\xac\x12\x1atE\x16gdU\x8cL\xce\xe3\xdf\xf0v\x8c\x1cg\xbb\xf2\xe8 \x17\xa1\xd3\xf7A\x97\x8c\x92',8934631.0,120000.0,20000000000.0,100.0,200.0,1573766237.0,24000000.0
"b'\x18\xdbE\x15\xaf\x8a\x03\xa9\xa3\xa3\x9d\xa9\x938B\x10\x1e\xf4\xc45w\x00\xae\xedkq\xbbIp,M\x0b'",8934630.0,21000.0,1200000000.0,36.0,10.0,1573766197.0,210000.0
b'\x19^\xf5\xd4\x05\xd1\x1f\xbb\xd4a^\x18\xf2h:\xeb\xa2fp\xd6\xb7\x9bd\x0b\xfa\x98\xb4\xe6\xf6\xe9\xcd\x95',8934629.0,150000.0,2000000000.0,36.0,20.0,1573766190.0,3000000.0
b'\x1a\xbc\rQ1\xe8\xc3\xb6\xe4S\x15A\x90\x90Q\x10\xec\xb0\x00=\xe1\x90M\xa9\x06\xd7\xdc.3\x16}\x99',8934633.0,36353.0,1000000000.0,36.0,10.0,1573766280.0,363530.0
"b""\x1b\x16\xaeM\x98\xd8q\x87\x9e\xe1\xa3\x91\x02\x17'\x96\xf3\xb6\xe4\x1f\xac\x07\xf9r]W\xb4]\xb6\xf7fU""",8934631.0,42000.0,20000000000.0,100.0,200.0,1573766237.0,8400000.0
b'\x1bW\xd34b_\x16\x9d\x05\x94\x80ow\xfd\x80W\xe5\x99|Z\x9b\x0c\xae\xfbO\xb6\x9d^\x10\xaa \xbb',8934630.0,64000.0,1500000000.0,36.0,10.0,1573766197.0,640000.0
"b'\x1b\xac\xe0 \x19\xf73\xb5\x0e\xa8Y\x0b\x97\xf3\x88CPj\x97NAy\xbd\xed\x1c2\xd8\xfd\x1f%""\xdf'",8934630.0,380000.0,5500000000.0,48.99999999999999,50.0,1573766197.0,19000000.0
"b'\x1b\xb2\x9bP\\]\x9c\x80\x18&\xb4|\r\xff\xfd\xa8<W@8H[\xed\xb8\xa9D,TS\xa0\x86\x95'",8934626.0,100000.0,25000000000.0,100.0,250.0,1573766161.0,25000000.0
"b'\x1b\xf8\x91\xef\xf3\x835J\x11\x8b""g\x07Vg\x8av\xd8\xa4\x95\x83\xb1\x1a:\x80\x99{\xd8\x80\xa56\xe3'",8934634.0,21000.0,10000000000.0,100.0,100.0,1573766286.0,
b'\x1c-du\xc8\x8a\xba5\xf9N[\x81Zf\xca:\xea-\xf2D\xb1\xe8.PJo7\xb3\x84>\x11$',8934633.0,100000.0,2250000000.0,36.0,20.0,1573766280.0,2000000.0
b'\x1cdT\x80\x8a\xfd\xd4d\xc4\xfcG\xc2mJ#\x8c\xd7R\x84\xb1Ej\xb4I\xc8\xd4\x8d\xf3\xd9\xfd\xee+',8934631.0,80000.0,5000000000.0,48.99999999999999,50.0,1573766237.0,4000000.0
"b""\x1c\xe8ge\xc5\xf9U\xea)q\xac\xa7'MDs3\x04\x1f\xc5\x8d\xc3\xe9\xe9\x87\x17\x9bg\xadE\x86\xdd""",8934633.0,21000.0,6000000000.0,48.99999999999999,60.0,1573766280.0,1260000.0
b'\x1c\xeb\xb5\xb3\xaa3\x9f  k\xe4\x87\xa0\x0f\xaa\x9b<eX|\xb2\xf2\xbb\xfc\x19C\x08p\t\xb7\xf25',8934630.0,90000.0,1000000000.0,36.0,10.0,1573766197.0,900000.0
b'\x1dn\xda#\xb1_t\x0f\x8d\xda\xac\x8d|c8\xb0\xd9\xcc\xb0\xce\xaf\xbc|\xb1\xc8^My[\xbc8\xf5',8934634.0,106819.0,1000000000.0,36.0,10.0,1573766286.0,
b'\x1d\xa3\x85\x87D\xe4\x99^\x04m\x85#\xaa\x1et\xddy(\xa3\xa4\xcf&\xf39p\xe2*/*\xdf!\xdc',8934633.0,21000.0,30000000000.0,100.0,300.0,1573766280.0,6300000.0
b'\x1d\xa4Z\xa9\xc3w\x94\x19}\xc8\xcf`\xf3\x9c\xed\xabcs\xf7\xa3 \xfb4r\x83\xc9R\xd4\xb5\xa3w\xdf',8934631.0,42000.0,20000000000.0,100.0,200.0,1573766237.0,8400000.0
"b'\x1e8\xbbm\x8a\xea>~\xc2\xcc\xd4\xfa\x85\x8c+PhQ\x9e7\x0e""L\x02\xdb5\xb3\xe7Mj@K'",8934629.0,75596.0,1000000000.0,36.0,10.0,1573766190.0,755960.0
b'\x1e\xef\xe0\xd5+\xb8\xda\xd8\xacYv\x8e\x06\xde\xcd\xef\xbd8\x01S\xadH\x87\x07\xc3\xb7h\xc4~mb\x8b',8934634.0,21000.0,1000000000.0,36.0,10.0,1573766286.0,
b'\x1f\xae3\xd6\xb9\xfc\xb1\xdb\x14\xa3\xfcml\xcd\xacAL.G\xf4\xa2\xc3\x8f=X\xcbV}\x89\xce<\xbf',8934630.0,90000.0,1000000000.0,36.0,10.0,1573766197.0,900000.0
